date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:10	92037/92037	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:09%20GMT	https://agadirjourney.com/index.php/	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/index.html	(from )
13:53:10	988/988	---M--	200	added ('OK')	text/plain	date:Sat,%2018%20Jun%202022%2005:45:53%20GMT	https://agadirjourney.com/robots.txt		(from )
13:53:10	118521/118521	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Nov%202021%2007:38:27%20GMT	https://agadirjourney.com/cache/widgetkit/widgetkit-28548e76.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/cache/widgetkit/widgetkit-28548e76.css	(from https://agadirjourney.com/index.php/)
13:53:10	91569/91569	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:10%20GMT	https://agadirjourney.com/index.php/fr/	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/fr/index.html	(from https://agadirjourney.com/index.php/)
13:53:11	7749/7749	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:27:56%20GMT	https://agadirjourney.com/plugins/system/jce/css/content.css?aa754b1f19c7df490be4b958cf085e7c	C:/My%20Web%20Sites/agdir/agadirjourney.com/plugins/system/jce/css/contentcd0a.css	(from https://agadirjourney.com/index.php/)
13:53:11	3013/3013	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:30:07%20GMT	https://agadirjourney.com/media/system/css/modal.css?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/system/css/modalf220.css	(from https://agadirjourney.com/index.php/)
13:53:11	79721/79721	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/bootstrap.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/bootstrap.css	(from https://agadirjourney.com/index.php/)
13:53:12	14113/14113	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/bootstrap_responsive.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/bootstrap_responsive.css	(from https://agadirjourney.com/index.php/)
13:53:12	69206/69206	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/template.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/template.css	(from https://agadirjourney.com/index.php/)
13:53:12	5051/5051	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/extensions.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/extensions.css	(from https://agadirjourney.com/index.php/)
13:53:12	11975/11975	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/animated-buttons.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/animated-buttons.css	(from https://agadirjourney.com/index.php/)
13:53:12	2069/2069	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/style2.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/style2.css	(from https://agadirjourney.com/index.php/)
13:53:13	10762/10762	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/template_responsive.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/template_responsive.css	(from https://agadirjourney.com/index.php/)
13:53:13	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/custom.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/custom.css	(from https://agadirjourney.com/index.php/)
13:53:13	1450/1450	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Nov%202021%2007:35:44%20GMT	https://agadirjourney.com/cache/tpl-jm-tropical-hotel/custom_css_787da1b0662ea2ad8bec91181ead815e.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/cache/tpl-jm-tropical-hotel/custom_css_787da1b0662ea2ad8bec91181ead815e.css	(from https://agadirjourney.com/index.php/)
13:53:13	335/335	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:30:45%20GMT	https://agadirjourney.com/media/mod_languages/css/template.css?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/mod_languages/css/templatef220.css	(from https://agadirjourney.com/index.php/)
13:53:13	12390/12390	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:43:45%20GMT	https://agadirjourney.com/components/com_pricetable/assets/css/pricetable.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/components/com_pricetable/assets/css/pricetable.css	(from https://agadirjourney.com/index.php/)
13:53:14	1092/1092	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:29:47%20GMT	https://agadirjourney.com/modules/mod_djimageslider/assets/style.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/modules/mod_djimageslider/assets/style.css	(from https://agadirjourney.com/index.php/)
13:53:14	4437/4437	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/djmenu.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/djmenu.css	(from https://agadirjourney.com/index.php/)
13:53:14	47610/47610	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:29:53%20GMT	https://agadirjourney.com/media/djextensions/css/animate.min.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/djextensions/css/animate.min.css	(from https://agadirjourney.com/index.php/)
13:53:14	1000/1000	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2009:29:44%20GMT	https://agadirjourney.com/modules/mod_djmenu/assets/css/animations.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/modules/mod_djmenu/assets/css/animations.css	(from https://agadirjourney.com/index.php/)
13:53:15	4722/4722	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/css/djmenu_fx.css	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/css/djmenu_fx.css	(from https://agadirjourney.com/index.php/)
13:53:15	97646/97646	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:40%20GMT	https://agadirjourney.com/media/jui/js/jquery.min.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/jui/js/jquery.minf220.js	(from https://agadirjourney.com/index.php/)
13:53:15	21/21	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:36%20GMT	https://agadirjourney.com/media/jui/js/jquery-noconflict.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/jui/js/jquery-noconflictf220.js	(from https://agadirjourney.com/index.php/)
13:53:15	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:36%20GMT	https://agadirjourney.com/media/jui/js/jquery-migrate.min.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/jui/js/jquery-migrate.minf220.js	(from https://agadirjourney.com/index.php/)
13:53:16	491/491	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:02%20GMT	https://agadirjourney.com/media/system/js/caption.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/system/js/captionf220.js	(from https://agadirjourney.com/index.php/)
13:53:16	29126/29126	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:36%20GMT	https://agadirjourney.com/media/jui/js/bootstrap.min.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/jui/js/bootstrap.minf220.js	(from https://agadirjourney.com/index.php/)
13:53:16	20567/20567	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Nov%202021%2007:40:08%20GMT	https://agadirjourney.com/cache/widgetkit/widgetkit-7bbc7f79.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/cache/widgetkit/widgetkit-7bbc7f79.js	(from https://agadirjourney.com/index.php/)
13:53:17	83893/83893	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:02%20GMT	https://agadirjourney.com/media/system/js/mootools-core.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/system/js/mootools-coref220.js	(from https://agadirjourney.com/index.php/)
13:53:17	12085/12085	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:02%20GMT	https://agadirjourney.com/media/system/js/core.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/system/js/coref220.js	(from https://agadirjourney.com/index.php/)
13:53:17	10127/10127	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:29:58%20GMT	https://agadirjourney.com/media/system/js/modal.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/system/js/modalf220.js	(from https://agadirjourney.com/index.php/)
13:53:17	236825/236825	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:30:02%20GMT	https://agadirjourney.com/media/system/js/mootools-more.js?d8803d05aa42f790505293b95edc0819	C:/My%20Web%20Sites/agdir/agadirjourney.com/media/system/js/mootools-moref220.js	(from https://agadirjourney.com/index.php/)
13:53:17	1648/1648	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/js/styleswitcher.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/js/styleswitcher.js	(from https://agadirjourney.com/index.php/)
13:53:18	3753/3753	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2010:10:04%20GMT	https://agadirjourney.com/templates/jm-tropical-hotel/js/scripts.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/templates/jm-tropical-hotel/js/scripts.js	(from https://agadirjourney.com/index.php/)
13:53:18	4842/4842	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:29:47%20GMT	https://agadirjourney.com/modules/mod_djimageslider/assets/powertools-1.2.0.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/modules/mod_djimageslider/assets/powertools-1.2.0.js	(from https://agadirjourney.com/index.php/)
13:53:18	5438/5438	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:29:47%20GMT	https://agadirjourney.com/modules/mod_djimageslider/assets/slider.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/modules/mod_djimageslider/assets/slider.js	(from https://agadirjourney.com/index.php/)
13:53:18	1158/1158	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:29:44%20GMT	https://agadirjourney.com/modules/mod_djmenu/assets/js/jquery.djselect.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/modules/mod_djmenu/assets/js/jquery.djselect.js	(from https://agadirjourney.com/index.php/)
13:53:18	3589/3589	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2009:29:44%20GMT	https://agadirjourney.com/modules/mod_djmenu/assets/js/jquery.djmenu.js	C:/My%20Web%20Sites/agdir/agadirjourney.com/modules/mod_djmenu/assets/js/jquery.djmenu.js	(from https://agadirjourney.com/index.php/)
13:53:19	11154/11154	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Jul%202021%2010:10:26%20GMT	https://agadirjourney.com/images/favicon.jpg	C:/My%20Web%20Sites/agdir/agadirjourney.com/images/favicon.jpg	(from https://agadirjourney.com/index.php/)
13:53:19	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2024%20Jan%202023%2012:53:19%20GMT	https://kit.fontawesome.com/45e38e596f.js	C:/My%20Web%20Sites/agdir/kit.fontawesome.com/45e38e596f.js	(from https://agadirjourney.com/index.php/)
13:53:20	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/agdir/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://agadirjourney.com/index.php/)
13:53:20	26329/26329	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jul%202021%2010:10:57%20GMT	https://agadirjourney.com/images/logo.png	C:/My%20Web%20Sites/agdir/agadirjourney.com/images/logo.png	(from https://agadirjourney.com/index.php/)
13:53:20	43079/43079	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:20%20GMT	https://agadirjourney.com/index.php/tours	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/tours.html	(from https://agadirjourney.com/index.php/)
13:53:20	37998/37998	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2012:53:20%20GMT	https://agadirjourney.com/index.php/tours/2-days-desert	C:/My%20Web%20Sites/agdir/agadirjourney.com/index.php/tours/2-days-desert.html	(from https://agadirjourney.com/index.php/)
